[18:47:00] [INFO] received Windows console close event; shutting log-core down
[18:47:31] [INFO] received Windows console close event; shutting log-core down
[18:48:05] [INFO] received Windows console close event; shutting log-core down
[18:49:01] [INFO] received Windows console close event; shutting log-core down
[18:51:04] [INFO] received Windows console close event; shutting log-core down
[19:47:22] [INFO] received Windows console close event; shutting log-core down
[19:58:24] [INFO] received Windows console close event; shutting log-core down
[20:24:54] [INFO] received Windows console close event; shutting log-core down
[20:33:35] [INFO] received Windows console close event; shutting log-core down
[20:35:16] [INFO] received Windows console close event; shutting log-core down
[20:37:18] [INFO] received Windows console close event; shutting log-core down
[20:39:46] [INFO] received Windows console close event; shutting log-core down
[20:46:40] [INFO] received Windows console close event; shutting log-core down
[20:49:40] [INFO] received Windows console close event; shutting log-core down
[21:03:31] [INFO] received Windows console close event; shutting log-core down
[21:13:48] [INFO] received Windows console close event; shutting log-core down
[21:38:07] [INFO] received Windows console close event; shutting log-core down
[21:47:06] [INFO] received Windows console close event; shutting log-core down
[21:48:45] [INFO] received Windows console close event; shutting log-core down
[21:51:13] [INFO] received Windows console close event; shutting log-core down
[21:55:03] [INFO] received Windows console close event; shutting log-core down
[22:07:32] [INFO] received Windows console close event; shutting log-core down
[22:12:02] [INFO] received Windows console close event; shutting log-core down
[22:17:04] [INFO] received Windows console close event; shutting log-core down
[22:19:50] [INFO] received Windows console close event; shutting log-core down
[22:20:51] [INFO] received Windows console close event; shutting log-core down
[22:21:42] [INFO] received Windows console close event; shutting log-core down
[22:22:36] [INFO] received Windows console close event; shutting log-core down
[22:23:56] [INFO] received Windows console close event; shutting log-core down
[22:25:07] [INFO] received Windows console close event; shutting log-core down
[22:26:02] [INFO] received Windows console close event; shutting log-core down
[22:28:02] [INFO] received Windows console close event; shutting log-core down
[22:40:36] [INFO] received Windows console close event; shutting log-core down
[22:43:05] [INFO] received Windows console close event; shutting log-core down
[22:59:39] [INFO] received Windows console close event; shutting log-core down
[23:06:30] [INFO] received Windows console close event; shutting log-core down
[23:16:49] [INFO] received Windows console close event; shutting log-core down
[23:18:25] [INFO] received Windows console close event; shutting log-core down
[23:21:57] [INFO] received Windows console close event; shutting log-core down
[23:25:21] [INFO] received Windows console close event; shutting log-core down
[00:15:53] [INFO] received Windows console close event; shutting log-core down
[02:12:15] [INFO] received Windows console close event; shutting log-core down
[02:12:18] [INFO] received Windows console close event; shutting log-core down
[02:14:08] [INFO] received Windows console close event; shutting log-core down
[02:15:45] [INFO] received Windows console close event; shutting log-core down
[17:34:52] [INFO] received Windows console close event; shutting log-core down
[17:35:35] [INFO] received Windows console close event; shutting log-core down
[17:36:50] [INFO] received Windows console close event; shutting log-core down
[17:46:30] [INFO] received Windows console close event; shutting log-core down
[19:34:52] [INFO] received Windows console close event; shutting log-core down
[19:39:03] [INFO] received Windows console close event; shutting log-core down
[20:26:34] [INFO] received Windows console close event; shutting log-core down
[20:32:51] [INFO] received Windows console close event; shutting log-core down
[20:41:33] [INFO] received Windows console close event; shutting log-core down
[20:47:05] [INFO] received Windows console close event; shutting log-core down
[20:53:53] [INFO] received Windows console close event; shutting log-core down
[20:57:16] [INFO] received Windows console close event; shutting log-core down
[21:00:21] [INFO] received Windows console close event; shutting log-core down
[21:04:06] [INFO] received Windows console close event; shutting log-core down
[21:11:18] [INFO] received Windows console close event; shutting log-core down
[21:15:37] [INFO] received Windows console close event; shutting log-core down
[21:17:49] [INFO] received Windows console close event; shutting log-core down
[21:21:23] [INFO] received Windows console close event; shutting log-core down
[21:54:49] [INFO] received Windows console close event; shutting log-core down
[22:14:55] [INFO] received Windows console close event; shutting log-core down
[22:16:00] [INFO] received Windows console close event; shutting log-core down
[22:32:34] [INFO] received Windows console close event; shutting log-core down
[22:47:13] [INFO] received Windows console close event; shutting log-core down
[22:49:02] [INFO] received Windows console close event; shutting log-core down
[22:57:29] [INFO] received Windows console close event; shutting log-core down
[23:00:02] [INFO] received Windows console close event; shutting log-core down
[23:32:49] [INFO] received Windows console close event; shutting log-core down
[23:40:04] [INFO] received Windows console close event; shutting log-core down
[23:48:31] [INFO] received Windows console close event; shutting log-core down
[23:55:06] [INFO] received Windows console close event; shutting log-core down
[23:59:05] [INFO] received Windows console close event; shutting log-core down
[00:08:05] [INFO] received Windows console close event; shutting log-core down
[00:41:58] [INFO] received Windows console close event; shutting log-core down
[00:56:53] [INFO] received Windows console close event; shutting log-core down
[02:08:45] [INFO] received Windows console close event; shutting log-core down
[02:09:50] [INFO] received Windows console close event; shutting log-core down
[02:10:49] [INFO] received Windows console close event; shutting log-core down
[02:11:51] [INFO] received Windows console close event; shutting log-core down
[02:20:54] [INFO] received Windows console close event; shutting log-core down
[02:28:22] [INFO] received Windows console close event; shutting log-core down
[02:33:51] [INFO] received Windows console close event; shutting log-core down
[13:50:21] [INFO] received Windows console close event; shutting log-core down
[14:08:18] [INFO] received Windows console close event; shutting log-core down
[14:53:58] [INFO] received Windows console close event; shutting log-core down
